pais,id_cliente,data_pedido,data_chegada,tipo_compra,numero_pedido,tamanho_pacote,unidades,custo_empacotamento,custo_envio,tipo_desconto,categoria,tipo_consumo,tipo_cliente,custo_produto
Argentina,111962928,2002-02-15,2002-03-10,Normal,98091426,Pacote pequeno,1,3.0,5.99,Sem desconto,BlueRay,Alto Consumo,B2C,8.99
Argentina,145148150,2004-11-05,2004-11-26,Normal,98087803,Pacote pequeno,3,1.0,6.99,Sem desconto,BlueRay,Alto Consumo,B2C,7.99
Argentina,194622983,2014-09-14,2014-09-28,Normal,98072296,Pacote pequeno,1,3.0,6.99,Sem desconto,BlueRay,Alto Consumo,B2C,9.99
Argentina,220834258,2011-07-20,2011-07-30,Devolução,98077986,Pacote pequeno,2,1.0,3.86,Cyber Monday,BlueRay,Alto Consumo,B2B,4.859999999999999
Argentina,220834258,2013-09-15,2017-02-15,Normal,98074234,Pacote pequeno,1,2.0,4.88,Black Friday,BlueRay,Alto Consumo,B2B,6.88
Argentina,224042479,2005-07-24,2005-08-02,Normal,98086862,Pacote pequeno,2,1.0,4.73,Sem desconto,BlueRay,Alto Consumo,B2B,5.73
Argentina,229898861,2000-02-29,2000-03-15,Devolução,98094002,Pacote pequeno,2,3.0,5.99,Cyber Monday,BlueRay,Alto Consumo,B2C,8.99
Argentina,258459702,2001-05-23,2001-06-08,Devolução,98092390,Pacote pequeno,2,2.0,6.55,Sem desconto,BlueRay,Alto Consumo,B2C,8.55
Argentina,258459702,2008-08-06,2008-08-26,Normal,98082788,Pacote pequeno,3,1.0,4.25,Sem desconto,BlueRay,Alto Consumo,B2C,5.25
Argentina,275323921,2014-02-20,2014-03-06,Normal,98073462,Pacote pequeno,1,1.0,5.36,Sem desconto,BlueRay,Alto Consumo,B2C,6.36
Argentina,321553436,2007-01-14,2007-01-25,Normal,98084872,Pacote pequeno,3,1.0,4.1,Data especial,BlueRay,Alto Consumo,B2B,5.1
Argentina,370008934,2003-01-12,2003-01-29,Normal,98090212,Pacote pequeno,2,2.0,4.14,Sem desconto,BlueRay,Alto Consumo,B2B,6.14
Argentina,376809712,2001-04-11,2001-04-21,Normal,98092541,Pacote pequeno,2,2.0,4.89,Sem desconto,BlueRay,Alto Consumo,B2B,6.89
Argentina,379587534,2002-01-19,2002-01-30,Normal,98091539,Pacote pequeno,3,3.0,5.58,Sem desconto,BlueRay,Alto Consumo,B2C,8.58
Argentina,379587534,2006-04-07,2006-04-20,Normal,98085934,Pacote pequeno,3,3.0,3.84,Sem desconto,BlueRay,Alto Consumo,B2C,6.84
Argentina,405991354,2002-09-28,2002-10-13,Normal,98090577,Pacote pequeno,1,1.0,4.65,Cyber Monday,BlueRay,Alto Consumo,B2C,5.65
Argentina,416232977,2015-02-03,2018-01-18,Normal,98071478,Pacote pequeno,2,3.0,5.1,Sem desconto,BlueRay,Alto Consumo,B2C,8.1
Argentina,458554212,2005-10-10,2005-10-29,Normal,98086594,Pacote pequeno,3,3.0,6.65,Sem desconto,BlueRay,Alto Consumo,B2C,9.65
Argentina,476846252,2008-09-02,2008-09-22,Normal,98082695,Pacote pequeno,3,3.0,3.99,Cyber Monday,BlueRay,Alto Consumo,B2C,6.99
Argentina,477490358,2004-06-22,2004-07-07,Normal,98088265,Pacote pequeno,2,3.0,5.65,Sem desconto,BlueRay,Alto Consumo,B2B,8.65
Argentina,477490358,2008-09-07,2008-09-21,Normal,98082671,Pacote pequeno,1,2.0,6.73,Sem desconto,BlueRay,Alto Consumo,B2B,8.73
Argentina,487583305,2015-07-21,2018-02-25,Normal,98070340,Pacote pequeno,3,3.0,5.73,Sem desconto,BlueRay,Alto Consumo,B2C,8.73
Argentina,499023098,2015-10-30,2015-11-21,Normal,98069665,Pacote pequeno,1,3.0,4.58,Sem desconto,BlueRay,Alto Consumo,B2C,7.58
Argentina,514668821,2007-03-10,2007-03-30,Normal,98084647,Pacote pequeno,1,3.0,4.55,Cyber Monday,BlueRay,Alto Consumo,B2C,7.55
Argentina,523605849,2014-06-27,2017-05-10,Normal,98072751,Pacote pequeno,1,2.0,6.1,Data especial,BlueRay,Alto Consumo,B2C,8.1
Argentina,523605849,2015-07-05,2015-07-24,Normal,98070458,Pacote pequeno,2,3.0,6.88,Sem desconto,BlueRay,Alto Consumo,B2C,9.879999999999999
Argentina,535619292,2001-06-09,2001-06-20,Devolução,98092332,Pacote pequeno,1,1.0,4.88,Sem desconto,BlueRay,Alto Consumo,B2B,5.88
Argentina,536970848,2010-11-18,2010-12-03,Normal,98079135,Pacote pequeno,2,1.0,4.99,Sem desconto,BlueRay,Alto Consumo,B2C,5.99
Argentina,548390931,2008-11-07,2008-11-27,Normal,98082446,Pacote pequeno,1,1.0,5.89,Sem desconto,BlueRay,Alto Consumo,B2B,6.89
Argentina,555364119,2011-10-04,2011-10-20,Normal,98077623,Pacote pequeno,3,3.0,4.1,Liquidação,BlueRay,Alto Consumo,B2C,7.1
Argentina,567281373,2010-05-01,2016-03-23,Normal,98080086,Pacote pequeno,3,1.0,3.45,Sem desconto,BlueRay,Alto Consumo,B2C,4.45
Argentina,579819412,2009-07-31,2009-08-15,Normal,98081419,Pacote pequeno,1,3.0,3.55,Liquidação,BlueRay,Alto Consumo,B2C,6.55
Argentina,598384221,2002-03-22,2002-04-11,Normal,98091280,Pacote pequeno,1,2.0,4.61,Sem desconto,BlueRay,Alto Consumo,B2B,6.61
Argentina,612686122,2009-03-25,2009-04-11,Normal,98081900,Pacote pequeno,1,1.0,5.55,Black Friday,BlueRay,Alto Consumo,B2B,6.55
Argentina,618976416,2014-08-10,2014-08-26,Normal,98072477,Pacote pequeno,3,2.0,3.88,Sem desconto,BlueRay,Alto Consumo,B2B,5.88
Argentina,648402267,2015-06-18,2015-06-27,Normal,98070560,Pacote pequeno,1,1.0,4.68,Sem desconto,BlueRay,Alto Consumo,B2C,5.68
Argentina,659361408,2014-12-05,2014-12-22,Normal,98071843,Pacote pequeno,1,1.0,4.2,Sem desconto,BlueRay,Alto Consumo,B2B,5.2
Argentina,695360223,2005-11-19,2005-12-01,Normal,98086428,Pacote pequeno,2,1.0,4.58,Sem desconto,BlueRay,Alto Consumo,B2C,5.58
Argentina,700137756,2007-05-13,2007-05-27,Normal,98084438,Pacote pequeno,1,1.0,6.0,Cyber Monday,BlueRay,Alto Consumo,B2B,7.0
Argentina,705211779,2013-11-19,2017-02-28,Normal,98073922,Pacote pequeno,3,2.0,5.68,Black Friday,BlueRay,Alto Consumo,B2C,7.68
Argentina,707476699,2014-12-27,2015-01-14,Normal,98071719,Pacote pequeno,1,2.0,3.58,Liquidação,BlueRay,Alto Consumo,B2C,5.58
Argentina,720326971,2010-03-20,2010-04-01,Normal,98080290,Pacote pequeno,2,3.0,3.58,Liquidação,BlueRay,Alto Consumo,B2C,6.58
Argentina,720465100,2010-11-13,2010-12-05,Devolução,98079170,Pacote pequeno,1,3.0,3.33,Sem desconto,BlueRay,Alto Consumo,B2C,6.33
Argentina,728304917,2015-06-30,2015-07-15,Normal,98070474,Pacote pequeno,1,2.0,5.99,Sem desconto,BlueRay,Alto Consumo,B2C,7.99
Argentina,733351455,2014-07-23,2018-06-13,Normal,98072599,Pacote pequeno,3,2.0,6.45,Cyber Monday,BlueRay,Alto Consumo,B2B,8.45
Argentina,733376144,2005-07-08,2005-07-20,Normal,98086928,Pacote pequeno,2,2.0,4.75,Sem desconto,BlueRay,Alto Consumo,B2B,6.75
Argentina,751863869,2001-10-31,2001-11-10,Normal,98091848,Pacote pequeno,1,2.0,5.2,Sem desconto,BlueRay,Alto Consumo,B2C,7.2
Argentina,761322747,2000-05-18,2000-05-30,Normal,98093733,Pacote pequeno,2,2.0,6.61,Liquidação,BlueRay,Alto Consumo,B2C,8.61
Argentina,761322747,2005-09-18,2005-10-04,Normal,98086672,Pacote pequeno,2,3.0,3.2,Sem desconto,BlueRay,Alto Consumo,B2C,6.2
Argentina,767598372,2006-11-17,2006-12-01,Devolução,98085084,Pacote pequeno,3,3.0,3.99,Sem desconto,BlueRay,Alto Consumo,B2B,6.99
Argentina,767598372,2015-02-06,2015-02-21,Normal,98071455,Pacote pequeno,2,1.0,5.68,Sem desconto,BlueRay,Alto Consumo,B2B,6.68
Argentina,773449633,2008-04-20,2008-05-09,Normal,98083174,Pacote pequeno,1,3.0,5.36,Cyber Monday,BlueRay,Alto Consumo,B2C,8.36
Argentina,821972070,2009-03-24,2009-04-03,Devolução,98081908,Pacote pequeno,3,3.0,3.68,Cyber Monday,BlueRay,Alto Consumo,B2C,6.68
Argentina,841860903,2012-07-20,2012-08-08,Normal,98076281,Pacote pequeno,3,3.0,5.61,Data especial,BlueRay,Alto Consumo,B2B,8.61
Argentina,845554615,2011-11-16,2011-12-01,Normal,98077432,Pacote pequeno,1,3.0,4.61,Data especial,BlueRay,Alto Consumo,B2C,7.61
Brasil,131591686,2002-02-23,2002-03-09,Normal,98091403,Pacote pequeno,1,3.0,6.73,Sem desconto,BlueRay,Alto Consumo,B2C,9.73
Brasil,140565407,2011-12-25,2012-01-03,Normal,98077262,Pacote pequeno,1,1.0,5.58,Sem desconto,BlueRay,Alto Consumo,B2C,6.58
